,1
Unix,31
操作,148
操作系统,142
系统,241
C,8
语言,22
发现,47
波动,2
波动性,2
发射,7
通信卫星,8
卫星,44
铺设,4
商,19
纤,1
首选,6
位,184
基础,17
趋,4
鹜,1
果,203
业界,69
领袖,24
图灵,3
图灵奖,3
般,84
研究员,6
工程,75
工程师,39
收入,46
退休,13
保障,7
受,33
尊重,2
社,43
通,222
北电,3
控制,41
加,46
根,89
联邦,14
反垄断,29
反垄断法,6
求,45
市话,6
区划,1
分成,9
设备,77
制造,126
部分,81
称,36
核心,42
Bell,1
Core,1
久,18
尚,2
水,3
喝,3
舞台,4
话,53
认,69
走,67
开始,144
伤筋动骨,2
接,68
长足,3
发展,294
丢掉,4
服务,189
作,139
供应,7
供应商,5
唯,32
供货,2
供货商,2
MCI,6
Sprint,6
竞争,187
市场,435
十分,20
观,9
足,41
维持,20
高额,10
营业,60
营业额,59
达,99
百,52
亿美元,166
合,57
总营业额,1
总裁,30
梅,3
毅,1
John,8
Mayer,1
博士,38
率,43
代表团,5
访华,1
国家,50
主席,8
江泽,1
江泽民,1
亲,5
说明,26
重视,10
中国,155
空,10
全,42
顶点,3
分家,13
什,146
造成,13
繁荣,9
顶峰,5
短短,14
崩,1
析,1
复,3
存,65
紧,7
爬,3
坡路,6
注,16
西南,1
吃,12
类似,27
水电,1
设施,2
服务公司,5
统统,4
utility,1
毫,30
言,18
实,65
年间,5
两次,13
机遇,7
网络,123
中期,8
延续,1
线,89
飞跃,4
利,70
反,69
两场,2
变革,8
丢,2
性命,1
健康,4
约束,5
美国政府,30
国政,38
政府,120
司法,17
司法部,17
法部,17
真正,46
命,13
帮助,56
修枝,1
修枝剪,1
叶,3
谈,37
拆分,17
形成,24
专利,50
保护,14
帆,5
专利技术,1
效,14
夜间,4
世纪,61
汽车,69
装机,1
数量,31
百万,53
百万户,1
万户,2
增加,31
扫平,1
手,94
海外,9
道琼斯,14
琼斯,14
指数,17
早期,60
市,188
扩,18
十家,12
支柱,8
支柱产业,3
蓝筹,1
蓝筹股,1
blue,1
chips,3
筹码,2
赌局,1
面值,1
代,77
继承,5
通电,15
电气,20
麻烦,12
伴,3
盯,1
金斯堡,1
Kingsburg,1
协议,27
收敛,1
扩张,20
电信业务,2
专注,16
美国市场,1
收缩,2
歪,1
萧条,12
摊子,3
铺,2
太,85
躲,2
济,86
危机,37
性,129
逃,7
恢复,7
战,66
普,32
成果,3
倍,53
值,28
青年,2
整,99
现代,4
步,35
达成,10
达成协议,1
限制,22
行,48
逼,6
科技进步,4
提升,18
实力,5
巩,1
微波,3
微波通信,2
撼动,3
根基,3
价钱,42
决,86
美国联邦,3
国联,4
委员,12
FCC,1
谈判,7
价,13
合理,11
缆,1
电缆,4
钱,149
雇,11
接线,1
接线员,1
亏损,29
降,43
毛利,6
毛利润,3
美国司法部,8
诉讼,4
终,63
赢,20
旷日,2
旷日持久,2
持久,2
官司,20
导,15
棵,2
树,10
剪,2
剪枝,1
完,14
枝,1
统,96
兴,35
移动,54
利令智昏,4
排,11
找,100
分水,3
分水岭,3
全面,7
复苏,6
斯坦普,1
图,32
美国股市,6
股市,28
暴涨,5
年底,11
部门,194
执行,25
执行官,7
短视,6
建议,7
两家,39
关系,42
拒,8
电话设备,1
销售,77
增长,63
显,39
意思,9
点,136
员工,109
亲身,3
夏天,1
楼,12
天天,7
觉,46
开,52
稳,26
偿,6
预言,4
幸,17
言中,1
股票,168
华尔街,126
句,27
拥,35
乏,5
左右,47
董事,45
况,14
利益,24
期,49
狠狠,2
捞,4
乐,16
关心,7
手中,11
翻番,23
长势,2
电信服务,2
信服,2
飞涨,1
懂,13
量,64
股权,30
明,9
场,17
杀鸡,4
杀鸡取卵,2
Lucent,1
姑,1
件,58
月,76
摩根,51
摩根斯坦利,39
根斯坦,39
斯坦利,40
Morgan,4
Stanley,3
领衔,2
筹集,2
现金,31
行动,9
止,30
动,57
市值,41
百十,28
亿元,2
预期,22
买,73
销售额,26
明显,22
股价,58
慢慢,9
应,97
预想,2
发,25
高官,1
议,4
意气,1
分发,1
洋溢,1
笑容,1
泡沫,28
破灭,1
十倍,29
两百,10
隐隐,1
感,11
养,12
两万,6
巨型,1
开发,106
赚钱,13
弊端,2
创新,53
创新力,3
新力,3
搞,52
轰动,2
相辅,1
相辅相成,1
相成,1
双赢,5
组合,2
双,18
长远,9
盈利,59
进,31
继续,17
须,150
断,84
超,96
反映,6
力,55
速,15
支撑,7
住,13
证明,36
败笔,2
险,11
棋,4
膨胀,6
促销,4
具体,15
具体做法,1
做法,43
运,3
季度,16
财务,19
财务报表,3
报表,4
计入,1
仔细,12
读,63
财,10
报,8
应收,3
应收款,3
收款,3
项,29
两年,40
破裂,2
倒闭,6
子,19
变成,35
净亏损,1
关闭,3
全部,44
象征,4
象征性,2
留,24
保住,2
块,12
招牌,2
裁员,15
流,26
失业,5
苟延残喘,1
残喘,1
水平,42
峰值,1
牌子,10
联系,17
址,17
景观,1
抢,11
名字,30
命名,8
崛,13
威胁,16
宽,14
电视,60
资格,8
彻底,13
毁,2
短线,2
挣钱,40
企业,90
炒作,9
包装,3
拆,9
卖,111
疑,21
移动电话,6
手笔,2
wireless,1
挂牌,5
募集,2
百亿,15
百亿美元,11
冠冕,1
冠冕堂皇,1
堂皇,1
字,10
贪婪,10
greedy,1
横财,1
竞争力,7
剩,28
滑,9
萎缩,7
发生,40
恐怖,5
恐怖袭击,4
袭击,4
修复,2
解散,2
拉里,6
拉宾,2
纳,5
Larry,2
Rabinar,1
预感,1
情况,61
妙,3
情味,1
部,50
安排,5
路,59
退,11
岗位,1
工程院,7
院士,10
学术,14
首,14
屈指,2
扭转,7
困境,5
命运,18
击,22
终结,1
外界,7
击垮,2
手段,11
占领,22
席,7
前进,6
失败,62
丝毫,1
伤害,4
阻止,10
式,82
查找,4
商业信息,2
网,63
降价,4
电话卡,1
通信业,2
拼,4
汤,1
Ken,1
Thompson,1
臂,1
变,31
需求,30
渐渐,17
语音,23
新兴,25
长项,1
强项,1
战胜,5
股,35
阻挡,2
潮流,14
识,12
伟,7
梦想,12
重,120
Nuance,3
星期,9
文字,8
文字处理,2
处理,237
旧,16
意志,2
转移,3
师,7
菲特,18
父亲,4
知道,71
马车,2
完蛋,2
注意,22
遗憾,22
完全,56
挤压,1
提供,74
灵,6
丰富,6
宜,24
回顾,7
店,14
业,16
代名,5
代名词,5
名词,5
聊,2
普遍,15
避免,25
错,40
问题,136
希,39
拆散,2
握,5
葬送,1
机器,8
解,45
缘,4
徽标,1
界,11
领导,52
超级,8
超级计算机,4
级计算机,4
深蓝,3
Deep,1
Blue,1
神,12
国际象棋,3
象棋,3
世界冠军,3
冠军,6
卡斯,6
卡斯帕,5
卡斯帕罗夫,5
帕罗,6
夫,12
展开,3
盘,21
年前,2
侥幸,1
扳,1
提高,44
数量级,8
量级,12
棋艺,2
明显提高,1
胜,12
番,4
棋迷,1
赛,8
实况,1
十亿,26
收,35
电视新闻,1
新闻,11
全世界,76
掀,6
阵,3
旋风,1
转型,38
印象,7
型,62
制造商,23
微机,144
越,105
气,7
简,60
consulting,1
company,2
软件,167
库,14
工业界,55
Research,3
全盛,1
全盛时期,1
盛时,1
时期,15
专利申请,5
申请,21
户,131
态度,2
开源,22
Open,1
Source,1
Linux,18
服务器,75
务器,75
生产,76
厂商,40
科技界,7
青,10
功,48
秘诀,2
保守,15
疑问,10
败,37
机械,21
结束,24
高峰,8
十世纪,28
末期,1
背景,6
托马,3
托马斯,3
华,57
Thomas,1
J,15
Watson,4
创建,5
推进,1
世纪末,6
电子计算,7
确,18
科学计算,6
霍,4
勒,3
里斯,5
Hollerith,1
统计,15
统计学,1
统计学家,1
计学,1
制表,13
制表机,10
形状,1
钢琴,2
附图,6
国家统计局,2
统计局,3
效力,1
办公,26
仪器,38
计算尺,2
算尺,2
表,12
正式,13
改组,2
父子,3
创始,106
灵魂,6
永久,2
介绍,67
产品,235
孔,4
象,15
政府部门,16
锁,10
企事业,2
事业,12
客户,36
主流,12
PC,96
处理器,196
理器,197
王,18
实际,65
分析,14
遇,27
资,21
主义,9
关门,18
减少,18
迹,11
营,40
段时间,12
劫,6
平坦,1
尤,38
罗斯,19
罗斯福,2
新政,1
员,25
德国,18
纳粹,2
回避,3
段,7
彩,3
毕,13
持续,15
未雨绸缪,3
绸缪,3
正巧,2
精密,1
精密机械,1
马,41
生产线,9
民,17
勃,2
郎,2
步枪,2
M,69
锋,2
枪,3
美军,7
主力,4
武器,4
战争,8
军事,2
良,11
研制,39
台,47
继电,1
继电器,1
电器,22
电子计算机,6
参,15
原子,2
原子弹,1
子弹,2
曼,15
顿,6
计划,42
重建,1
工业品,1
杜鲁门,2
总统,17
完成,40
社保,3
制度,11
予,14
强力,3
支持,39
轻易,7
选择,51
电动,1
两派,1
争执,1
恰恰,7
东西,30
持,14
观点,10
坚持,11
发展趋势,2
趋势,10
争,24
胜利,10
告终,2
追,7
推广,18
程,40
先哲,1
直接,49
目,23
弹道,1
轨迹,1
流体,1
流体力学,1
体力,1
力学,1
手工,5
产生,17
卓越,3
贡献,23
冯,11
诺伊,10
诺伊曼,7
伊曼,7
Von,1
Neumann,1
电影,24
电视剧,1
暗算,1
毛,10
莱,10
Mouchly,1
艾,8
科特,7
Presper,1
Eckert,1
运行,22
程序,29
系统结构,5
结构,18
architechture,1
埃,1
尼亚,2
克,18
ENIAC,4
负责,18
祖先,1
加载,1
指令,73
重复,8
输入,4
EDVAC,1
设计,69
案,16
草,3
写,32
淡忘,1
产权,5
宾西法尼亚,1
西法,1
闹翻,1
UNIVAC,1
赔钱,5
扮演,7
非,184
角色,10
请,22
顾问,10
麻省,31
麻省理工,27
麻省理工学院,25
理工,33
理工学,27
理工学院,27
工学,30
工学院,30
学院,71
技术支持,3
投入,43
马歇尔,1
执掌,7
年增长率,1
增长率,2
民间,1
两条,8
学校,51
组织,7
民意,2
民意调查,2
调查,11
干,32
题目,21
局限,6
存储,21
表格,2
编辑,2
印,13
够,55
遵循,4
优先,4
价格,50
集中,20
集中式,3
中式,3
高性,3
主机,8
硬件,97
重点,6
转变,9
计算机系,15
计算机系统,11
机系统,11
结构设计,1
构设,1
典,6
生命,7
生命期,3
特,22
波音,6
波音公司,3
客机,1
系列,31
售价,12
百万美元,13
万美元,53
电脑,48
思想,7
修,3
容,28
造价,1
惊,4
跨国,26
跨国公司,25
国公,30
账目,1
加加,1
加加减减,1
加减,2
减,5
复杂,29
函数,3
角,4
专门,29
运算,8
程序语言,9
高级,8
COBOL,5
诞生,33
Common,1
Business,6
Oriented,2
Language,1
顾名,1
顾名思义,1
针,14
数处,1
制,38
流行,7
程度,33
鼓励,21
计算机软件,5
机软件,8
标准,47
运动,4
运动员,2
动员,3
裁判,1
裁判员,1
双重,2
计算机领域,9
孤,2
求败,2
发展史,4
轻量,1
轻量级,1
数字,49
DEC,28
太贵,4
廉价,10
低,85
应运,2
井水,1
犯,10
河水,1
容纳,2
鱼水,2
步伐,2
国王,5
允许,10
名义,2
诉,3
付,20
代价,2
公开,8
兼容,45
兼容机,23
计算机技术,4
薪水,3
福利,6
退休金,5
丰厚,5
神话,11
陷入,3
陷入困境,2
信息化,3
划分,1
阶段,23
读完,3
史蒂夫,4
蒂夫,4
乔布,73
乔布斯,73
布斯,73
Steve,2
Jobs,1
车库,7
车库里,5
库里,5
I,4
创业,187
资金,45
限,31
租,9
租金,1
民房,1
现象,15
例外,7
步子,1
接手,5
凯利,2
Frank,1
Cary,1
花,47
应付,2
密,2
注视,2
前面,37
兔子,1
撒,2
鹰,1
事情,25
技术储备,3
储备,13
办法,30
例子,39
惹,2
力量,7
T,4
Labs,1
罗,6
组,7
破,7
软硬,6
软硬件,6
习惯,14
采,62
英特尔公司,39
芯片,67
委托,2
配置,4
问世,5
批,15
万分,4
编程,9
受欢迎,3
欢迎,6
卖掉,30
万台,4
真,23
谓,12
问,24
回答,9
时代周刊,2
周刊,3
评选,1
华尔街日报,5
日报,5
高度,4
高度评价,1
评价,4
联想,25
联想公司,3
结果,34
遗,1
症,1
客户群,1
院校,2
终端,11
消费,27
消费型,1
consumer,1
products,2
验,41
类产品,8
签,8
专业,29
玩转,1
绑,3
进帐,1
销售价,2
服务费,7
坐,15
收钱,3
BM,1
外面,6
反应,3
冷淡,1
约,22
十万,25
十万台,3
费劲,1
升,14
考虑,19
条件,27
PC机,8
实质,1
门槛,10
部件,4
磁盘,4
磁盘驱动器,1
驱动,3
驱动器,2
显示,20
显示器,7
键盘,2
容易,79
DOS,14
仿制,3
核,5
BIOS,1
破解,1
入,9
雨,3
春笋,3
佼佼,4
睁眼,1
闭眼,1
功夫,4
康,37
柏,30
Compaq,8
戴尔,54
Dell,27
忽视,9
笑傲,1
笑傲江湖,1
傲江湖,1
江湖,2
盖茨,48
仑,2
汗,1
尼,31
拔,6
凯撒,1
攻城,1
掠,1
池,1
统帅,4
硝烟,1
战场,2
横,7
捭阖,2
懒,5
招标,1
DR,1
Digital,1
作罢,1
手套,1
狼,1
万,57
转手,2
聪明,14
买断,1
眼,10
版权,2
漏洞,5
清楚,36
否,66
抓住,8
空子,1
高兴,2
告,9
欺,2
情,3
赔偿,3
油水,1
榨,1
十块,3
回事,4
沦,5
众,22
份,14
挣,35
前途,8
限量,3
OS,6
合作,24
合作伙伴,1
伙伴,6
心志,1
高远,1
蛋糕,2
明修栈道,1
栈道,1
暗渡陈仓,1
陈仓,1
合作开发,1
短期,10
力气,5
视窗,4
Windows,46
时候,51
CEO,78
吃亏,2
情愿,2
落伍,3
霸主,11
横空,1
世,13
末,15
危,2
严重,17
艰难,14
猜测,1
路易,1
路易斯,1
郭士纳,24
Louis,1
Gerstner,1
受命,2
危难,2
首席,4
计算机硬件,13
服务性,2
开创,10
食品,3
职,14
信,39
卡,26
运通,2
英语,2
土豆,2
土豆片,1
词,7
chip,2
玩笑,7
He,1
also,2
made,1
but,1
potato,1
原先,2
嘲笑,2
创造,28
进行,42
高福利,2
舒适,1
环境,27
庞,11
官僚,3
官僚主义,2
浮,3
耗,5
背,17
伏,1
群雄,4
群雄逐鹿,1
逐鹿,1
喻,4
纸,5
箱子,2
办成,9
搬动,2
报告,15
层层,2
审批,3
落实,1
搬家,3
搬运,2
务,11
提交,5
纸箱,1
高明,2
医生,6
疮,2
招,16
溶解,1
掉,25
通俗,2
开源节流,1
节流,1
首先,61
裁,6
冗余,1
相应,12
降低,23
短时,8
短时间,8
增加收入,1
加收,1
资产,17
Almaden,6
座,7
豪华,2
盖,8
烂尾,1
烂尾楼,1
尾楼,1
楼盖,1
景气,3
裁撤,3
改革,2
声响,1
买回,4
破产,12
软件开发,2
合成,1
体,12
道行,2
造,22
IT,85
服务业,7
航空,8
航空母舰,3
母舰,3
引入,3
竞争机制,1
机制,3
防止,11
拆台,2
加强,6
效益,10
挂钩,1
砍掉,1
偏重,1
结合,13
研究组,1
挪,1
工资,20
转化,4
转化成,3
化成,3
长线,2
弥补,6
损失,18
开展,5
设,8
奖学,3
奖学金,3
服务型,2
群,17
企业级,21
放弃,12
争夺,8
低端,10
优势,63
力推,2
头,38
努力,20
改造,5
生产商,2
截,3
相反,15
整合,4
回,38
龙,5
走势,5
走势图,1
业绩,28
突飞,1
突飞猛进,1
猛进,1
担,19
十年间,1
插图,1
投机,11
差,54
守,10
慎,5
开拓,28
始终,10
牢牢,4
军队,5
笔记,21
档次,4
厂家,28
贵,15
掏腰包,1
腰包,1
非核,2
非核心,2
存储技术,1
数字通信,2
国,34
宕机,2
放心,8
富,18
恐,7
开设,4
硬盘,9
FORTRAN,1
编程语言,1
DRAM,1
广泛,15
Relational,1
Database,1
BCJR,1
算法,3
指,24
RISC,10
工作站,56
硬币,2
微型,1
相机,6
显微,2
显微镜,2
Sony,10
游戏,24
游戏机,8
双核,4
关,42
范围,6
申请专利,4
奖金,3
计,6
记,14
点数,1
涨工资,1
提级,1
DB,2
衡量,6
告诉,14
衡量标准,1
发表,13
文,13
产品化,2
侵权,3
防御,1
防御性,1
声称,3
进攻,3
进攻性,1
支,3
知识,21
知识产权,4
律师,5
队伍,1
侵犯,2
专利费,5
十亿美元,21
买卖,9
骄傲,3
远远,22
变动,2
削减,2
数学,9
基金,94
Hedge,3
Fund,4
文艺,5
文艺复兴,5
Renaissance,1
Technologies,2
撑,1
金融,81
相通,1
旗舰,3
伯,2
希尔,3
韦,55
Berkshire,1
Hathaway,1
回报,50
回报率,10
标,1
参加,11
政策,8
仁,4
智,6
相结合,3
优胜,3
汰,3
年收入,2
涨,34
亿,25
淘汰,19
扩充,1
日公,11
现金交易,1
交易,56
售,46
国力,1
增强,1
扬眉,1
扬眉吐气,1
吐气,1
担心,8
消化,2
做成,6
证券,7
年度,6
汇报,1
摘,1
省,15
总收入,2
幅,7
持平,1
税,4
购回,1
甩掉,3
包袱,4
集中精力,5
精力,18
亏,3
正确,8
Thinkpad,1
品牌,29
美,9
组装,2
金钱,1
世界级,6
世界市场,5
销量,11
市场份额,32
份额,42
足轻,2
轻重,2
扭亏,5
亏盈,5
行业,123
思,1
非生产,3
非生产性,3
生产性,3
平摊,2
扣,5
局面,3
倒,15
精细,3
细算,2
工,17
时时,3
调整,6
结束语,18
生存,21
道,18
死,20
死守,2
机械制造,1
预,5
汤姆,3
汉克斯,1
克斯,9
主演,1
甘,4
镜头,1
傻,5
福,3
捧,2
标志,6
辈,2
导演,3
挑,4
确实,17
帕,6
蒂诺,1
Cupertino,1
房子,9
办公楼,4
公寓,1
混杂,1
社区,7
颜色,7
咬,1
口,13
鼎鼎,2
iPod,33
iPhone,15
总部,8
飞,4
狭,1
苹果机,7
酷,18
深,4
高端,25
时尚,8
时尚品牌,1
矛盾,3
具,17
色彩,6
书,15
毕业,36
旁听,2
入选,2
For,1
contributions,1
creation,1
and,20
development,1
of,22
the,9
personal,1
computer,2
industry,1
生母,3
未婚,1
校,9
研究生,11
读书,2
孩子,13
送,14
收养,2
夫妇,18
女孩,1
养父,5
养父母,4
父母,6
养母,1
毕业生,18
业生,19
中学,2
文件,11
签字,1
许诺,1
答应,8
高中,3
高中毕业,1
学费,7
贫困,2
倾,8
积蓄,6
忍心,1
花掉,3
辈子,10
感兴,4
感兴趣,4
兴趣,13
课,5
宿舍,1
板,20
蹭,1
睡觉,2
捡,3
玻璃,5
玻璃瓶,1
罐,1
挣点,2
星期天,2
施舍,1
饭,4
十公里,2
教堂,1
书法,4
迷,1
事实证明,17
实证,17
艺术,7
艺术修养,1
修养,2
产品设计,3
漂亮,11
字体,3
调,8
Macintosh,2
界面,10
十岁,13
斯蒂芬,1
沃,2
兹,4
尼克,4
Wozniak,1
恩,8
Wayne,2
办,44
站住,3
站住脚,2
百倍,16
外设,6
视频,16
盒式,1
录音,5
录音机,2
接口,5
电视机,15
家家,2
工业部,6
主持,4
清华,6
攻关,1
中华,2
学习,26
学习机,2
币,7
作风,3
机关,1
题外,5
题外话,5
外话,5
练习,1
玩,10
警察,3
抓,3
偷,2
喜欢,30
意义,21
实际意义,1
家庭,31
假想,1
傲慢,2
偏,4
玩具,5
广,20
款,13
麦金,15
图形,23
图形界面,7
鼠标,4
优,7
整整,6
命令,2
命令行,1
记住,3
操作命令,1
退回,3
扭,2
DO,1
S,1
拟,4
K,8
两点,4
窗口,2
施乐,6
Xerox,2
洛,3
Palo,1
Alto,1
Parc,1
发明创造,6
商品,26
改变,25
赚,10
封闭,7
道路,8
吞,1
开放,14
胜负,2
决斗,1
帮忙,3
挑战,20
试,5
名利,1
名利双收,1
两件,2
两件事,2
创办,50
鬼门,1
鬼门关,1
遭,5
长达,2
低谷,6
迷失,2
说服,3
百事,5
斯,27
库利,26
Sculley,1
双盲,1
评测,1
测试,3
两瓶,1
标签,1
开拓市场,3
统筹,1
全局,1
宰相,1
运筹,2
运筹帷幄,1
帷幄,1
元帅,1
试图,19
迎合,2
机型,1
销售价格,1
成长,42
Newton,1
PDA,3
牛顿,2
掌,3
踢,1
红火,4
NeXT,2
动画,7
制作,6
星球,1
卢卡,1
卢卡斯,1
室,3
构成,4
图形工作站,5
工作室,2
Pixar,3
迪斯尼,3
迪斯尼公司,1
高价,11
动画片,2
画片,2
飘,1
开发新,2
领,9
居,22
级,12
招兵,1
招兵买马,1
买马,1
寄予,1
厚,3
气候,5
晚,14
拍,3
政,1
挤,1
继,8
回天,3
塌,1
糊涂,5
差点,3
太阳,161
Sun,11
Microsystems,6
享受,2
法庭,9
创意,2
实实,13
复制,6
抄,3
窗,1
门里,1
驳回,1
压,25
抗衡,5
底,11
洞,2
船,2
听说,8
谱,1
职务,11
块钱,4
亲子,1
感情,1
样子,4
时髦,2
学生,107
士,5
横溢,1
艺术家,4
术家,4
严,6
干脆,14
讲究,2
品味,2
运气,11
窄,5
焦头,1
焦头烂额,1
暇,1
顾,5
弟弟,4
扶正,1
景,2
破碎,9
阻碍,4
特写,1
善,9
准,4
脉搏,1
磨练,1
毛头,1
伙子,2
封闭式,2
闭式,2
逐渐,3
Free,1
BSD,1
体系,12
开发软件,1
发软,1
接受,19
助理,3
想法,13
时机,8
成熟,13
手机,202
记事,1
接掌,1
高屋建瓴,1
趟,1
滩,1
浑水,1
金沙,1
媒体,37
播,12
渠道,7
数字化,6
信息源,1
录,13
激,4
唱盘,4
DVD,4
声音,1
压缩,12
音乐,39
充斥,2
盗版,10
暴利,3
暴利行业,1
利行,1
朋友,26
CD,5
十美元,4
版税,1
视,1
批量,3
流量,11
网民,3
播放,50
播放器,36
理想,8
唱片,6
集体,1
Napster,3
消失,8
歌曲,2
养成,1
首歌,1
序,2
十张,2
戴,2
耳机,3
听歌,4
携,5
唱机,1
花钱,5
培养,26
解决,42
转圈,1
iTune,2
装,12
电池,1
充电,2
外观,10
外观设计,1
爱,4
突破,4
低点,2
音箱,3
生产厂,9
主动,10
配套,1
汽车音响,1
音响,4
皮套,1
劫难,1
患,2
癌症,1
估计,14
暗示,1
准备,6
手术,3
治愈,1
恶性,1
恶性肿瘤,1
肿瘤,1
死亡,2
推动,10
进化,3
变迁,6
沉浸,1
加紧,1
新品,4
受阻,1
期权,31
风波,3
寻求,7
杯,3
羹,3
百代,1
EMI,1
环球,3
Universal,6
宝,1
丽,4
金,7
华纳,1
兄弟,7
Warner,1
Brothers,2
BMG,1
签约,2
听众,3
体验,2
两首,1
曲子,2
整张,1
付费,12
专辑,1
拆成,2
主意,3
高手,5
强硬,1
范,1
永远,19
隔,1
载量,1
表现,15
爆,3
雪,3
霜,2
报道,6
Stock,1
Option,1
市场价,1
权利,2
翁,1
责,8
买进,2
exercise,1
差价,1
公司股票,4
做手,2
做手脚,1
手脚,1
修改,4
授予,6
层,8
栽,2
证监,12
掌握,10
确凿,2
低头,2
罚款,1
官,8
安德森,2
Fred,1
Anderson,1
受罚,1
解雇,1
委屈,1
跑,12
鸣冤,1
TV,4
豆腐,4
豆腐块,4
盒子,1
家里,8
环绕,2
声,4
高清,5
高清晰,5
高清晰度,5
清晰,6
清晰度,6
音,5
客厅,2
娱乐,11
娱乐中心,5
中心,34
制品,2
特殊,14
家电,22
抢先,3
候选,4
蓝,1
Blu,1
Ray,1
笑,3
拳头,2
拳头产品,2
目睹,1
革命性,12
说实话,1
实话,1
普通,9
完整,3
查,8
邮件,4
浪,1
赘述,8
稍微,3
专家,16
耳目,2
感觉,7
感慨,1
波峰,1
兴衰,6
沉浮,1
重合,2
发展期,1
展期,1
遗忘,3
升华,1
两句,3
两句话,1
渴,3
智愚,1
Stay,2
Hungry,3
Foolish,1
愿,2
